Year Deployed,Parks,Species,D_Sex,Deployment code,Name of individual,Brand,SAT ID,Date Deployed,Time Deployed,VHF,VHF Fine Tune,SN,GPS X,GPS Y,Vial#,Body Length,Horn Length,Neck Circ,Group Size,State,Immobility?,Reason,Reasons,Date Last Fix,Last Fix X,Last Fix Y,Date Deactivated,To deactive with AWT,In inactive collar group ER?,To Check?,Comments
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6650,AWT,6650,22-Mar-2023,8:46, 148.010 ,,s/n 20173,6.160851,32.910488,115,,,46,,Deactivated,,,,,,,25-Apr-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6651,AWT,6651,19-Mar-2023,7:00, 148.030 ,,s/n 20174,5.296547,32.479465,161,150,44.5,45,400,Deactivated,,,,,,,20-Jun-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6652,AWT,6652,29-Mar-2023,8:44, 148.100 ,,s/n 20176,7.225564,33.605740,170,133,47,43,,Deactivated,,,,,,,25-Jan-2024,,Yes,,Ceres tag 2207B0797 
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6653,AWT,6653,29-Mar-2023,8:10, 148.080 ,,s/n 20175,7.195730,33.720643,111,138,48.5,44,,Deactivated,,,,,,,11-Mar-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6654,AWT,6654,29-Mar-2023,7:00, 148.120 ,,s/n 20177,07.099918,033.823828,134,149,49,42.5,,Deactivated,,Poached,,,6.621043,33.283296,8-Jan-2025,,Yes,,Ceres tag 2207B0079
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6655,AWT,6655,20-Mar-2023,10:34, 148.140 ,,s/n 20178,6.150009,32.686970,171,146,47.5,46,1000+,Deactivated,,Possibly poached,,,6.815482,32.369262,8-Aug-2025,,Yes,y,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6657,AWT,6657,17-Mar-2023,11:10, 148.180 ,,s/n 20180,5.28109444,32.41718056,162,140,50,40,20,Deactivated,,,,,,,5-Jun-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6658,AWT,6658,20-Mar-2023,10:12, 148.200 ,,s/n 20181,6.154324,32.673466,166,141,51,44,1000+,Deactivated,,Poached,,,,,1-Aug-2025,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6659,AWT,6659,25-Mar-2023,8:06, 148.220 ,,s/n 20182,06.16625,33.48189,87,,,48,,Deactivated,,,,,,,2-Aug-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6660,AWT,6660,24-Mar-2023,6:20, 148.240 ,,s/n 20183,06.52367,34.16225,92,,,44,,Deactivated,,Natural mortality?,,,6.918593,33.805003,9-Apr-2025,,Yes,Y,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6661,AWT,6661,14-Apr-2023,9:13, 148.260 ,,s/n 20184,6.610358,33.487492,77,,,,,Deactivated,,,,,,,5-Apr-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6662,AWT,6662,23-Mar-2023,9:10, 148.300 ,,s/n 20185,06.041898,032.384898,101,,,,,Deactivated,,,,1-Sep-2024,,,10-Oct-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6656,AWT,6656,8-Apr-2023,9:50, 148.160 ,,s/n 20179,5.914893,32.820677,90,,,,,Deactivated,,,,,,,5-Apr-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6663,AWT,6663,22-Mar-2023,10:45, 148.320 ,,s/n 20186,6.100518,32.912131,128,,,,,Deactivated,,,,,,,20-Jun-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6664,AWT,6664,23-Mar-2023,11:54, 148.370 ,,s/n 20187,06.071397,032.170888,199,,,,,Deactivated,,,,,,,8-Aug-2025,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6665,AWT,6665,17-Mar-2023,10:24, 148.430 ,,s/n 20188,05.271122,32.400201,163,145,40,47.5,1000+,Deactivated,,,,,,,8-May-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6666,AWT,6666,8-Apr-2023,8:24, 148.450 ,,s/n 20189,5.663222 ,32.648195,108,139,45.5,45,,Deactivated,,Natural mortality?,,,,,5-Apr-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6667,AWT,6667,22-Mar-2023,8:03, 148.520 ,,s/n 20190,6.055080,32.745251,165,145,39.5,48,,Deactivated,,,,,,,20-Jun-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6668,AWT,6668,23-Mar-2023,6:51, 148.560 ,,s/n 20191,06.06747,32.71219,105,,,,,Deactivated,,Natural mortality?,,11-Apr-2024,5.750638,32.421936,8-Aug-2025,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6669,AWT,6669,22-Mar-2023,11:30, 148.610 ,,s/n 20192,6.134673,32.942639,104,,,40,,Deactivated,,,,,,,5-Apr-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6670,AWT,6670,24-Mar-2023,7:00, 148.630 ,,s/n 20193,06.64631,34.06939,82,,,46.5,,Deactivated,,,,25-Jun-2024,,,12-Sep-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6671,AWT,6671,24-Mar-2023,8:39, 148.730 ,,s/n 20194,06.85967,34.05425,99,,,42.5,,Deactivated,,,,4-Jun-2024,,,12-Sep-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6672,AWT,6672,4-Apr-2023,8:31, 148.750 ,,s/n 20195,6.754740,34.535730,30,,,,,Deactivated,,,,,,,20-Jun-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6673,AWT,6673,22-Mar-2023,7:23, 148.800 ,,s/n 20196,6.061123,32.737428,177,,43,42,,Deactivated,,,,,,,13-Sep-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,6674_1,White-eared Kob 6674,AWT,6674,16-Mar-2023,7:40, 148.890 ,,s/n 20197,05.158659,32.306948,180,142,40,37,,Redeployed,,Poached - collar collected,,,,,11-Mar-2024,,Yes,,Animal likely poached; collar recovered 6 April
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6675,AWT,6675,22-Mar-2023,12:15, 148.930 ,,s/n 20198,6.122544,32.890186,183,,,41,,Deactivated,,,,,,,5-Apr-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6676,AWT,6676,24-Mar-2023,9:30, 148.950 ,,s/n 20199,06.32436,33.86903,88,,,45.5,,Deactivated,,,,,,,20-Oct-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6677,AWT,6677,22-Mar-2023,11:12, 148.980 ,,s/n 20200,6.126381,32.918598,152,,,,,Deactivated,,,,,,,25-Apr-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6735,AWT,6735,16-Apr-2023,9:35, 150.780 ,,s/n 20345,7.907265,32.488007,66,148,50,45,,Deactivated,,,,,,,31-Aug-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6734,AWT,6734,22-Mar-2023,6:50, 150.740 ,,s/n 20344,6.066633,32.755313,150,,,,,Deactivated,,,,,,,20-Jun-2023,,Yes,,
